date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:18	203/203	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:27%20GMT	http://sites.google.com/site/jheightquantum	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum.0.delayed	(from )
17:07:19	231/231	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:27%20GMT	http://sites.google.com/site/jheightquantum/home	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/home.1.delayed	(from )
17:07:19	227/227	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:27%20GMT	http://sites.google.com/site/jheightquantum/	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/index.html	(from )
17:07:20	235/235	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:28%20GMT	http://sites.google.com/site/jheightquantum/stations	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/stations.3.delayed	(from )
17:07:21	17202/17202	---MCZ	200	added ('OK')	text/html	etag:%221487033788668|#public|0|en|||0|558043982|147290976%22	https://sites.google.com/site/jheightquantum/home	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/home.html	(from )
17:07:21	242/242	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:30%20GMT	http://sites.google.com/site/jheightquantum/stations/kcc-jq	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/stations/kcc-jq.5.delayed	(from )
17:07:21	22769/22769	---MCZ	200	added ('OK')	text/html	etag:%221487033788668|#public|0|en|||0|558043982|147290976%22	https://sites.google.com/site/jheightquantum/stations	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/stations.html	(from )
17:07:22	249/249	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:31%20GMT	http://sites.google.com/site/jheightquantum/statations/kcc-jq/docs	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/statations/kcc-jq/docs.7.delayed	(from )
17:07:23	19187/19187	---MCZ	200	added ('OK')	text/html	etag:%221487033788668|#public|0|en|||0|558043982|147290976%22	https://sites.google.com/site/jheightquantum/stations/kcc-jq	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/stations/kcc-jq.html	(from )
17:07:24	17828/17828	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Feb%202017%2001:07:33%20GMT	https://sites.google.com/site/jheightquantum/statations/kcc-jq/docs	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/statations/kcc-jq/docs.8.delayed	(from )
17:07:24	248/248	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Feb%202017%2001:07:33%20GMT	http://sites.google.com/site/jheightquantum/stations/kcc-jq/songs	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/stations/kcc-jq/songs.9.delayed	(from )
17:07:25	67/67	---M-Z	200	added ('OK')	text/plain	date:Tue,%2014%20Feb%202017%2001:07:34%20GMT	http://sites.google.com/robots.txt		(from )
17:07:26	19517/19517	---MCZ	200	added ('OK')	text/html	etag:%221487033788668|#public|0|en|||0|558043982|147290976%22	https://sites.google.com/site/jheightquantum/stations/kcc-jq/songs	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/stations/kcc-jq/songs.html	(from )
17:07:27	67/67	---MCZ	200	added ('OK')	text/plain	date:Tue,%2014%20Feb%202017%2001:07:35%20GMT	https://sites.google.com/robots.txt		(from )
17:07:27	3147/3147	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/app/images/apple-touch-icon.png	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/app/images/apple-touch-icon.png	(from https://sites.google.com/site/jheightquantum/home)
17:07:27	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/app/images/cleardot.gif	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/app/images/cleardot.gif	(from https://sites.google.com/site/jheightquantum/home)
17:07:28	42406/42406	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/app/css/codemirror_css.css	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/app/css/codemirror_css.css	(from https://sites.google.com/site/jheightquantum/home)
17:07:29	8590/8590	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/app/css/trogedit.css	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/app/css/trogedit.css	(from https://sites.google.com/site/jheightquantum/home)
17:07:29	1161617/1161617	---MC-	200	added ('OK')	text/javascript	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/js/trog_edit__en.js	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/js/trog_edit__en.js	(from https://sites.google.com/site/jheightquantum/home)
17:07:30	10006/10006	---MC-	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202017%2001:07:39%20GMT	https://sites.google.com/site/jheightquantum/_/rsrc/1486937275000/system/app/css/editor.css	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/sites.google.com/site/jheightquantum/_/rsrc/1486937275000/system/app/css/editor.css	(from https://sites.google.com/site/jheightquantum/home)
17:07:30	1032/1032	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/app/css/codeeditor.css	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/app/css/codeeditor.css	(from https://sites.google.com/site/jheightquantum/home)
17:07:31	193127/193127	---MC-	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202017%2022:49:34%20GMT	https://ssl.gstatic.com/sites/p/72a1ca/system/app/themes/iceberg/standard-css-iceberg-ltr-ltr.css	C:/Users/GamerPlays/Desktop/Quantum/jheight%20quantum/ssl.gstatic.com/sites/p/72a1ca/system/app/themes/iceberg/standard-css-iceberg-ltr-ltr.css	(from https://sites.google.com/site/jheightquantum/home)
